player_id,frames_seen,team,total_distance_m,avg_speed_kmh,max_speed_kmh,avg_accel_ms2,touches,high_intensity,jog,sprint,walk/stand,possession_time_s,passes_made,passes_received,turnovers_won,turnovers_lost,sprint_count
29,98,1,76.55965608358383,71.03473244868603,251.9763922691345,7.429445431250887,0.0,38.74552271515131,28.72159420698881,76.55965608358383,58.14644181728363,0.0,0,0,0,0,6
46,250,0,237.87117196898907,85.977532036984,1511.9146156311035,-0.6212638952885287,0.0,237.87117196898907,237.26961573120207,236.9370376272127,237.32169659715143,0.0,0,0,0,0,9
49,18,0,64.90313810110092,343.6048487705343,894.0926170349121,-121.03267890565536,0.0,0.0,0.0,64.90313810110092,,0.0,0,0,0,0,1
53,7,1,15.172252893447876,227.5837934017181,434.4384241104126,-251.82840724786124,0.0,0.0,0.0,15.172252893447876,,0.0,0,0,0,0,1
57,155,0,136.8639344125986,79.98541621515503,241.34791374206543,-0.7758249661752156,54.0,129.37946394085884,136.8639344125986,136.61529046297073,136.71216686069965,0.0,0,0,0,1,4
62,257,1,239.41167933307588,84.16816851553449,449.4335603713989,-1.2632091966224834,104.0,239.41167933307588,239.1466181036085,238.4597107451409,238.7701926510781,0.0,0,1,0,1,7
67,1,0,,,,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0
78,203,0,213.89236725308,95.29857946919408,489.5739555358887,6.208866650220191,17.0,207.34610558487475,205.0005869809538,213.89236725308,199.6617814246565,0.0,1,0,1,0,6
128,5,0,13.219035506248474,297.42829889059067,390.71592807769775,-333.49158242344856,0.0,0.0,0.0,13.219035506248474,,0.0,0,0,0,0,0
152,203,0,203.1378505527973,90.50696311758296,427.8388595581055,-6.89616210131657,0.0,202.6903348192573,203.1378505527973,202.44486965984103,202.7424318343401,0.0,0,0,0,0,5
165,199,1,139.12052829749882,63.23660377159037,331.69488430023193,-3.3605215727643234,0.0,138.73734428547323,138.90352584980428,137.00295057706535,139.12052829749882,0.0,0,0,0,0,7
181,178,1,196.63460655882955,99.98369825025232,803.1226444244385,-9.644477224335242,0.0,196.40332745574412,196.1614353414625,194.34808203205463,196.63460655882955,0.0,0,0,0,0,2
201,56,1,88.71425345540047,145.1687783815644,915.540075302124,100.72971338575536,0.0,0.0,0.0,88.71425345540047,,0.0,0,0,0,0,1
208,138,1,146.01403050869703,95.9216258816258,463.2820415496826,-5.822848447047881,0.0,142.16398119181397,139.71641967445612,146.01403050869703,136.24267006665468,0.0,0,0,0,0,6
228,2,0,0.2927934825420379,26.351413428783417,26.351413428783417,0.0,0.0,0.0,0.0,0.2927934825420379,,0.0,0,0,0,0,0
244,117,0,32.4646799582988,25.188113760749072,118.03271055221558,1.034752449727264,0.0,29.30910033173859,29.47992745228112,32.4646799582988,22.8576397318393,0.0,0,0,0,0,2
258,109,1,83.90505835786462,69.92088196488719,428.6617612838745,-5.876079667359591,0.0,83.90505835786462,83.42489691451192,83.28326067700982,78.89206810668111,0.0,0,0,0,0,4
266,1,0,,,,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0
268,30,0,5.841445159167051,18.128622907759816,46.95600092411041,-4.105010102021283,0.0,4.970725584775209,5.841445159167051,5.594954211264849,5.694722589105368,0.0,0,0,0,0,0
270,70,0,78.05701315402985,101.8134954182998,402.1537685394287,-16.03652817615564,0.0,76.22840376198292,76.37752747535706,78.05701315402985,,0.0,0,0,0,0,3
277,2,0,1.9549050331115725,175.9414529800415,175.9414529800415,0.0,0.0,0.0,0.0,1.9549050331115725,,0.0,0,0,0,0,0
285,75,0,43.55069094244391,52.96705655162097,265.8509016036988,-4.233723172817278,0.0,43.50733550358564,43.04104277957231,41.2388410801068,43.55069094244391,0.0,0,0,0,0,5
296,45,1,54.06104829907417,110.579416975379,450.2934980392456,-62.7300710501996,0.0,47.798217713832855,53.51037833094597,54.06104829907417,,0.0,0,0,0,0,2
297,17,1,17.180114813148975,96.638145823963,355.5873155593872,-68.55082756374031,0.0,17.180114813148975,10.551515839993954,16.75529881566763,10.424142248928549,0.0,0,0,0,0,0
311,44,0,34.35334227606654,71.90234429874393,537.0069551467896,-0.3354723543621773,0.0,34.16220784559846,34.30333245173097,32.68913561478257,34.35334227606654,0.0,0,0,0,0,1
323,28,1,11.49200090765953,38.30666969219843,83.81588280200958,0.9980673591295878,0.0,7.540920153260231,10.943782657384872,11.49200090765953,,0.0,0,0,0,0,2
331,22,0,6.453471325337887,27.657734251448087,49.573193192482,5.925833691088926,0.0,4.162477545440197,3.932300679385662,6.453471325337887,0.0803553983569145,0.0,0,0,0,0,1
