frame,t_s,team_in_possession,ball_third
591,23.64,1.0,defensive
592,23.68,1.0,defensive
593,23.72,1.0,defensive
594,23.76,1.0,defensive
595,23.8,1.0,defensive
596,23.84,1.0,defensive
597,23.88,1.0,defensive
598,23.92,1.0,defensive
599,23.96,1.0,defensive
600,24.0,1.0,defensive
601,24.04,1.0,defensive
602,24.08,1.0,defensive
603,24.12,1.0,defensive
604,24.16,1.0,defensive
605,24.2,1.0,defensive
606,24.24,1.0,defensive
607,24.28,1.0,defensive
608,24.32,1.0,defensive
609,24.36,1.0,defensive
610,24.4,1.0,defensive
611,24.44,1.0,defensive
612,24.48,1.0,defensive
613,24.52,1.0,defensive
614,24.56,1.0,defensive
615,24.6,1.0,defensive
616,24.64,1.0,defensive
617,24.68,1.0,defensive
618,24.72,1.0,defensive
619,24.76,1.0,defensive
620,24.8,1.0,defensive
621,24.84,1.0,defensive
622,24.88,1.0,defensive
623,24.92,1.0,defensive
624,24.96,1.0,defensive
625,25.0,1.0,defensive
626,25.04,1.0,defensive
627,25.08,1.0,defensive
628,25.12,0.0,defensive
629,25.16,0.0,defensive
630,25.2,0.0,defensive
631,25.24,0.0,defensive
632,25.28,0.0,defensive
633,25.32,0.0,defensive
634,25.36,0.0,defensive
635,25.4,0.0,defensive
636,25.44,0.0,defensive
637,25.48,0.0,defensive
638,25.52,0.0,defensive
639,25.56,0.0,defensive
640,25.6,0.0,defensive
641,25.64,0.0,defensive
642,25.68,0.0,defensive
643,25.72,0.0,defensive
644,25.76,0.0,defensive
645,25.8,0.0,defensive
649,25.96,0.0,defensive
650,26.0,0.0,defensive
653,26.12,0.0,defensive
654,26.16,0.0,defensive
655,26.2,0.0,defensive
656,26.24,0.0,defensive
657,26.28,0.0,defensive
658,26.32,0.0,defensive
659,26.36,0.0,defensive
660,26.4,0.0,defensive
661,26.44,0.0,defensive
662,26.48,0.0,defensive
663,26.52,0.0,defensive
664,26.56,0.0,defensive
665,26.6,0.0,defensive
666,26.64,0.0,defensive
667,26.68,0.0,defensive
668,26.72,0.0,defensive
669,26.76,0.0,defensive
670,26.8,0.0,defensive
671,26.84,0.0,defensive
672,26.88,0.0,defensive
673,26.92,0.0,defensive
674,26.96,0.0,defensive
675,27.0,0.0,defensive
676,27.04,0.0,defensive
677,27.08,0.0,defensive
678,27.12,0.0,defensive
679,27.16,0.0,defensive
680,27.2,0.0,defensive
681,27.24,0.0,defensive
682,27.28,0.0,defensive
683,27.32,0.0,defensive
684,27.36,0.0,defensive
685,27.4,0.0,defensive
686,27.44,0.0,defensive
687,27.48,0.0,defensive
688,27.52,0.0,defensive
689,27.56,0.0,defensive
690,27.6,0.0,defensive
691,27.64,0.0,defensive
692,27.68,0.0,defensive
693,27.72,0.0,defensive
694,27.76,0.0,defensive
695,27.8,0.0,defensive
696,27.84,1.0,defensive
697,27.88,1.0,defensive
698,27.92,1.0,defensive
699,27.96,1.0,defensive
700,28.0,1.0,defensive
701,28.04,1.0,defensive
702,28.08,1.0,defensive
703,28.12,1.0,defensive
704,28.16,1.0,defensive
705,28.2,1.0,defensive
706,28.24,1.0,defensive
707,28.28,1.0,defensive
708,28.32,1.0,defensive
709,28.36,1.0,defensive
710,28.4,1.0,defensive
711,28.44,1.0,defensive
712,28.48,1.0,defensive
713,28.52,1.0,defensive
714,28.56,1.0,defensive
715,28.6,1.0,defensive
716,28.64,1.0,defensive
717,28.68,1.0,defensive
718,28.72,1.0,defensive
719,28.76,1.0,defensive
720,28.8,1.0,defensive
721,28.84,1.0,defensive
722,28.88,1.0,defensive
723,28.92,1.0,defensive
724,28.96,1.0,defensive
725,29.0,1.0,defensive
726,29.04,1.0,defensive
727,29.08,1.0,defensive
728,29.12,1.0,defensive
729,29.16,1.0,defensive
730,29.2,1.0,defensive
731,29.24,1.0,defensive
732,29.28,1.0,defensive
733,29.32,1.0,defensive
734,29.36,1.0,defensive
735,29.4,1.0,defensive
736,29.44,1.0,defensive
737,29.48,1.0,defensive
738,29.52,1.0,defensive
739,29.56,1.0,defensive
740,29.6,1.0,defensive
741,29.64,1.0,defensive
742,29.68,1.0,defensive
743,29.72,1.0,defensive
744,29.76,1.0,defensive
745,29.8,1.0,defensive
746,29.84,1.0,defensive
747,29.88,1.0,defensive
748,29.92,1.0,defensive
749,29.96,1.0,defensive
750,30.0,1.0,defensive
751,30.04,1.0,defensive
752,30.08,1.0,defensive
753,30.12,1.0,defensive
754,30.16,1.0,defensive
755,30.2,1.0,defensive
756,30.24,1.0,defensive
757,30.28,1.0,defensive
758,30.32,1.0,defensive
759,30.36,1.0,defensive
760,30.4,1.0,defensive
761,30.44,1.0,defensive
762,30.48,1.0,defensive
763,30.52,1.0,defensive
764,30.56,1.0,defensive
765,30.6,1.0,defensive
766,30.64,1.0,defensive
767,30.68,1.0,defensive
768,30.72,1.0,defensive
769,30.76,1.0,defensive
770,30.8,1.0,defensive
771,30.84,1.0,defensive
772,30.88,1.0,defensive
773,30.92,1.0,defensive
774,30.96,1.0,defensive
775,31.0,1.0,defensive
776,31.04,1.0,defensive
777,31.08,1.0,defensive
778,31.12,1.0,defensive
779,31.16,1.0,defensive
780,31.2,1.0,defensive
781,31.24,1.0,defensive
782,31.28,1.0,defensive
783,31.32,1.0,defensive
784,31.36,1.0,defensive
785,31.4,1.0,defensive
786,31.44,1.0,defensive
787,31.48,1.0,defensive
788,31.52,1.0,defensive
789,31.56,1.0,defensive
790,31.6,1.0,defensive
791,31.64,1.0,defensive
792,31.68,1.0,defensive
793,31.72,1.0,defensive
794,31.76,1.0,defensive
795,31.8,1.0,defensive
796,31.84,1.0,defensive
797,31.88,1.0,defensive
798,31.92,1.0,defensive
799,31.96,1.0,defensive
800,32.0,1.0,defensive
801,32.04,1.0,defensive
802,32.08,1.0,defensive
803,32.12,1.0,defensive
804,32.16,1.0,defensive
805,32.2,1.0,defensive
806,32.24,1.0,defensive
807,32.28,1.0,defensive
808,32.32,1.0,defensive
809,32.36,1.0,defensive
810,32.4,1.0,defensive
811,32.44,1.0,defensive
812,32.48,1.0,defensive
813,32.52,1.0,defensive
814,32.56,1.0,defensive
815,32.6,1.0,defensive
816,32.64,1.0,defensive
817,32.68,1.0,defensive
818,32.72,1.0,defensive
