frame,x,y,speed_kmh,cumulative_dist_m
217,-9.472286,55.08156,382.14328,302.08945
218,-16.24495,52.155426,796.7971,309.4672
219,-23.054382,49.181313,802.5041,316.8978
220,-29.893192,46.17217,806.92883,324.36935
221,-33.180553,44.81412,384.13754,327.92618
222,-32.916462,45.107178,42.60547,328.32068
223,-36.26777,43.676247,393.55322,331.9647
224,-39.75608,42.11932,412.5591,335.78467
225,-39.796024,42.124134,4.345137,335.8249
226,-39.835686,42.126446,4.2907014,335.86462
227,-39.877083,42.128475,4.476255,335.90607
228,-43.490997,40.4494,430.3724,339.891
229,-50.681828,37.083836,857.462,347.83044
230,-54.296856,35.401745,430.61884,351.81766
231,-54.324333,35.40628,3.0077028,351.84552
232,-54.353104,35.402924,3.1282876,351.87448
233,-54.3652,35.400063,1.3424555,351.8869
234,-54.034664,35.526127,38.206085,352.24066
235,-53.37155,35.7758,76.524254,352.94922
236,-52.37146,36.154465,115.492905,354.0186
237,-51.020256,36.66724,156.08485,355.4638
238,-49.32969,37.31099,195.37045,357.2728
239,-47.296288,38.092506,235.26875,359.4512
240,-44.940266,39.00287,272.78494,361.977
241,-42.584244,39.91323,272.78494,364.50278
242,-40.22822,40.823597,272.7851,367.02856
243,-37.8722,41.73396,272.78494,369.55435
244,-35.516174,42.644325,272.78546,372.08014
245,-33.160152,43.55469,272.7851,374.60593
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,3.4947739,56.452694,,
265,3.173251,55.884003,70.55523,
266,2.8647265,55.324764,68.979355,
267,2.569201,54.774975,67.411705,
268,2.2884545,54.2396,65.28808,
269,2.0128882,53.764297,59.336174,
270,1.7464017,53.312374,56.66139,
271,1.4866012,52.899967,52.64108,
272,1.231713,52.496742,51.519318,
273,0.982934,52.101192,50.466244,
274,0.74026424,51.713326,49.412727,
275,0.5013462,51.317116,49.968407,
276,0.26376966,50.892704,52.52931,
277,0.022806153,50.468933,52.64877,
278,-0.22554764,50.06322,51.374622,
279,-0.4688589,49.671967,49.759804,
280,-0.7084075,49.29967,47.812096,
281,-0.9398119,48.9487,45.40225,
282,-2.0574195,48.430386,133.0504,
283,-4.0612307,47.74472,228.7305,
284,-6.947858,46.891083,325.10175,
285,-10.713298,45.852016,421.8668,
286,-15.369983,44.63116,519.91876,
287,-20.916636,43.22399,618.01556,
288,-27.357634,41.628155,716.66077,
289,-33.798634,40.03232,716.6609,
290,-39.32065,38.6709,614.2352,
291,-43.913242,37.53942,510.8315,
292,-47.59333,36.62338,409.57748,
293,-50.35104,35.93874,306.8738,
294,-52.1795,35.490086,203.33157,
295,-53.094666,35.25623,102.01373,
296,-50.893753,35.87381,246.87914,
297,-46.49574,37.10841,493.3456,
298,-39.91107,38.96451,738.857,
299,-33.36276,40.83919,735.6285,
300,-26.860691,42.71648,730.9062,
301,-20.411736,44.591797,725.3374,
302,-13.986716,46.492256,723.62103,
303,-9.83476,47.77377,469.2848,
304,-7.955869,48.43634,215.16759,
305,-8.350042,48.47996,42.83058,
306,-8.77734,48.522068,46.371655,
307,-9.237761,48.562653,49.918224,
308,-9.731304,48.601715,53.4694,
309,-10.391738,48.645847,71.485916,
310,-11.172714,48.70249,84.567,
311,-12.074237,48.771645,97.65046,
312,-13.096303,48.85331,110.73493,
313,-14.238913,48.94748,123.82021,
314,-15.5020685,49.05417,136.90657,
315,-16.885769,49.173363,149.99306,
316,-18.269468,49.292553,149.99292,
317,-19.653168,49.41175,149.99298,
318,-21.036865,49.53095,149.99278,
319,-22.420565,49.650146,149.99298,
320,-23.804264,49.769333,149.99287,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,-48.73417,47.173447,,
341,-49.199028,45.858273,150.65038,
342,-49.6562,44.271618,178.33017,
343,-50.105682,42.41347,206.46771,
344,-50.475883,40.778877,181.00703,
345,-50.77063,39.368534,155.60783,
346,-50.98567,38.187706,129.62683,
347,-51.120113,37.232338,104.1964,
348,-51.767166,37.53391,77.098854,
349,-52.93038,39.58946,255.08023,
350,-54.081795,42.14061,302.28665,
351,-54.626575,43.445385,152.70544,
352,-54.56091,43.50308,9.440328,
353,-54.493946,43.559013,9.423137,
354,-54.434036,43.61473,8.835972,
355,-53.792133,42.413208,147.12186,
356,-52.56823,39.95445,296.62543,
357,-51.285385,37.505653,298.5626,
358,-50.61806,36.300625,148.76642,
359,-50.58367,36.339066,5.57046,
360,-50.56549,36.372204,4.082183,
361,-50.56321,36.405403,3.5939796,
362,-50.566803,36.434822,3.2008603,
363,-50.581573,36.47233,4.353452,
364,-50.62333,36.48747,4.7969165,
365,-51.69558,37.751038,178.97809,
366,-53.780914,40.263348,352.6216,
367,-55.629047,42.49887,313.25882,
368,-57.232803,44.454754,273.16766,
369,-58.60221,46.134842,234.0879,
370,-59.73197,47.527256,193.65384,
371,-60.611176,48.653637,154.32036,
372,-60.228252,48.25631,59.59596,
373,-58.583218,46.33528,273.1458,
374,-56.938187,44.41426,273.1449,
375,-55.293156,42.493233,273.1455,
376,-53.872807,40.855907,234.09421,
377,-52.677135,39.502285,195.05656,
378,-51.71727,38.41941,156.28157,
379,-50.987072,37.619926,116.93781,
380,-50.483616,37.09582,78.48815,
381,-50.214157,36.84855,39.497845,
382,-50.17995,36.872932,4.536815,
383,-50.14879,36.8891,3.791474,
384,-50.125492,36.907417,3.2006574,
385,-50.10274,36.922523,2.949406,
386,-50.079002,36.93558,2.9260569,
387,-50.05025,36.949566,3.4529824,
